primary,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,usersrated,AveRating,stddev,usersweighted,AveWeight,Board Game Rank,Strategy Game Rank,Family Game Rank
Star Fleet Battles (Designer's Edition),1979,2,2,180,180,180,0,108,7.38704,1.60168,14,3.8571,7205,,
Party Bugs,2018,2,6,15,15,15,8,108,6.35167,1.34208,4,1.25,10514,,
Electronic Detective,1979,1,4,45,45,45,10,108,6.2988,1.76146,7,2,12175,,
1972: The Lost Phantom,2017,1,1,90,30,90,0,108,7.00648,1.4124,12,1.75,8398,,
The T-Shirt Game,2007,3,6,30,30,30,0,108,5.11343,1.58609,5,1,20514,,
Stellaris: Infinite Legacy,2022,2,4,150,90,150,12,108,6.50093,4.01099,20,3.8,15121,2266,
Zwergen Ziehen,1997,2,4,20,20,20,10,108,5.77232,1.2822,13,1.1538,15657,,
Space Dragons,2021,3,5,20,15,20,10,108,6.78727,1.2679,2,1.5,8431,,
Zapotec,2022,1,4,75,60,75,12,112,7.07921,1.16532,8,2.625,7514,,
World Shapers,2019,1,4,30,30,30,10,108,5.68579,1.29725,6,1.3333,16074,,
NUTS!,1998,2,4,120,120,120,0,108,6.06852,1.57143,13,2.6154,13084,,
Sudoku Moyo,2007,2,2,30,30,30,0,108,4.59463,1.5044,10,1.9,21268,,
Fanhunter: Assault,2018,2,6,30,30,30,13,108,6.11581,1.74343,2,2,13762,,
Crabs!,2016,2,5,35,20,35,12,108,6.33204,1.3582,5,2,11047,,
Warmaster Ancients,2005,2,99,90,90,90,12,108,7.24815,1.62158,20,2.65,7685,,
Battleship: Star Wars Advanced Mission,2002,1,2,20,20,20,8,108,5.65602,1.5865,5,1.4,16509,,
Catlantis,2019,2,4,15,15,15,8,108,6.06898,1.71703,1,1,14786,,
"Houston, We Have a Dolphin!",2020,3,5,40,20,40,12,108,7.2787,1.64807,12,2.5833,9086,,
SongBurst 50's & 60's Edition,1990,3,0,30,30,30,18,108,5.1588,1.6417,6,1.1667,20430,,
Mystery! Motive for Murder,2015,1,5,90,30,90,10,108,5.55222,1.79269,6,2,18166,,
Eye Sea,2016,2,10,15,15,15,12,110,5.57727,1.66409,2,1,17254,,
Adaman,2010,1,1,10,10,10,0,108,6.0713,1.39808,15,1.2667,12803,,1967
Clusterf**k!,2013,4,8,20,20,20,17,108,4.95917,2.13574,1,1,20848,,
"Operation Jubilee: Dieppe, August 1942",2010,1,1,240,180,240,0,108,7.30694,1.31236,13,2.9231,7250,,
Swing States 2012,2012,1,1,40,40,40,12,108,6.91667,1.72361,15,2.2667,8787,,
Ruin,2008,2,4,45,45,45,10,108,5.56667,1.41959,15,1.6667,17420,,
T-Rex's Holiday,2019,2,8,20,15,20,8,109,6.84541,1.419,3,2.3333,8991,,
Hexx & Hopp,2015,2,5,30,20,30,9,108,6.18333,1.26444,5,1.4,12000,,
Before There Were Stars...,2018,3,6,60,40,60,10,108,6.53074,2.49728,4,1,10322,,
Last One Lost,2014,2,2,5,5,5,6,108,5.49223,1.55718,2,1,19027,,
Pigment,2017,1,3,20,15,20,10,108,6.2,1.38749,4,1.75,12297,,
The March of Progress,2020,2,2,30,30,30,12,108,6.7063,1.41586,3,2,9178,,
Shit!,1996,2,6,20,20,20,8,108,5.45009,1.78907,17,1.1765,18779,,
"U.S.N.: The Game of War in the Pacific, 1941-43",1971,2,2,360,360,360,14,108,6.23611,1.69451,22,3.5455,12356,,
