primary,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,usersrated,AveRating,stddev,usersweighted,AveWeight,Board Game Rank,Strategy Game Rank,Family Game Rank
Hannin Wa Odoru,2013,3,8,10,10,10,8,535,6.4871,1.43439,37,1.1622,4725,,
2GM Tactics,2015,1,4,120,30,120,12,534,7.56552,1.47715,39,2.6667,3383,,
Cthulhu 500,2004,3,8,60,60,60,13,534,5.82873,1.46023,66,1.7121,8975,,
Greedy Greedy Goblins,2016,2,4,35,25,35,14,534,6.3205,1.39823,7,2,5284,,
Trivial Pursuit: Master Edition,2009,2,6,60,60,60,16,534,6.12755,1.62042,23,1.3913,6741,,
Solarius Mission,2016,2,4,150,60,150,12,533,7.19636,1.68466,39,3.9487,3016,1238,
Duck Dealer,2008,2,5,240,180,240,14,533,6.3195,1.6285,54,3.7593,5079,1678,
Crack the Case,1993,2,8,60,60,60,12,533,5.97951,1.74113,34,1.5882,7700,,
Richard the Lionheart,2017,2,6,90,90,90,14,535,6.98064,1.37245,15,2.3333,3571,1427,
Twilight Imperium: Second Edition,2000,2,6,240,240,240,12,533,6.9,1.48695,51,3.5098,3736,,
Taverna,2015,2,5,90,60,90,12,533,6.24613,1.45136,21,2.619,5613,1782,
Mmm!,2015,1,6,20,15,20,5,533,6.4202,1.28467,12,1.3333,4847,,1250
Harry Potter and the Sorcerer's Stone Mystery at Hogwarts Game,2000,2,6,30,30,30,8,531,5.54256,1.45179,31,1.5161,20286,,2183
Hoppladi Hopplada!,2008,2,7,20,20,20,8,532,6.32662,1.29737,34,1.2647,5092,,1299
Tahiti,2012,2,4,60,45,60,13,533,6.34288,1.18617,37,1.9189,5073,,1292
Savannah Tails,2009,2,5,30,30,30,8,532,6.2984,1.11758,45,1.5333,5167,,1310
Spite & Malice,2002,2,5,30,30,30,8,532,5.87103,1.39882,50,1.38,8701,,1763
The Creature That Ate Sheboygan,1979,2,2,60,60,60,10,532,6.41681,1.40163,52,1.6346,4949,,
Tatsu,2016,2,2,45,30,45,8,531,6.66653,1.49419,11,1.6364,4265,,
Metallum,2013,2,2,60,60,60,10,531,7.0517,1.28256,28,2.6786,3343,1363,
Steam over Holland,2007,2,5,180,180,180,0,531,7.32714,1.3032,54,3.7778,2847,1185,
Dungeoneer: Dragons of the Forsaken Desert,2005,2,4,60,60,60,12,531,6.30259,1.42473,52,2.2115,5507,,
Clue Suspect,2010,3,4,15,15,15,8,532,5.74831,1.52582,37,1.2973,11417,,1935
Rolling Japan,2014,1,99,15,15,15,8,530,6.25962,1.17863,26,1.5385,5305,,
Yucata',1996,2,4,30,30,30,9,530,5.77558,1.40381,51,1.7059,9575,,
Strife: Legacy of the Eternals,2014,2,2,60,60,60,13,530,6.7716,1.26703,30,2.4667,3924,1498,
Shogun,1976,2,2,10,10,10,8,530,5.68546,1.4805,50,1.92,13723,,
King Arthur: The Card Game,2005,2,5,30,30,30,8,530,6.12175,1.17234,81,1.5185,6114,,1465
Sakura,2018,2,6,40,20,40,10,529,6.57521,1.27272,9,1.2222,4413,,1179
Clue Jr.: The Case of the Missing Cake,2003,2,6,30,30,30,5,528,5.34538,1.45371,50,1.26,21097,,
Pocket Civ,2005,1,2,30,30,30,12,529,6.61798,1.49047,94,2.7553,4359,1608,
Scream Machine,2003,3,6,45,45,45,7,529,5.99488,1.21822,71,1.5352,6819,,
X-Bugs,2001,2,2,30,30,30,10,529,6.36099,1.46114,66,1.3485,5154,,1338
New York,2011,2,6,60,45,60,8,529,6.66391,1.23848,30,2.0333,4152,,1117
Star Trek: The Next Generation – Interactive VCR Board Game – A Klingon Challenge,1993,3,6,60,60,60,8,529,5.73796,1.79885,42,1.7143,12961,,
Ciúb,2014,2,4,45,45,45,10,528,6.13159,1.36667,36,1.9167,6135,,1467
Zombie in My Pocket,2010,1,8,30,30,30,11,528,5.81809,1.57696,39,1.3846,8852,,
Black Stories: Real Crime Edition,2009,2,15,20,20,20,12,528,5.71652,1.67157,11,1.1818,12754,,
Rockband Manager,2010,3,6,45,45,45,14,528,5.97138,1.34594,39,1.8718,7107,,1597
Passtally,2018,2,3,40,30,40,8,528,6.6418,1.4864,12,2,4170,,
Heroes of Tenefyr,2019,1,4,60,60,60,14,528,7.34737,1.40307,14,2.2857,3142,,
Crazy Karts,2016,3,8,60,45,60,8,528,5.88004,1.52714,6,1.8333,8312,,
Lord of the Rings,2003,2,5,20,20,20,6,527,5.93033,1.47358,67,1.2388,7809,,
Mercado,2018,2,4,30,30,30,10,527,6.56689,1.30924,14,1.8571,4642,,
True Colors,1989,3,6,30,30,30,18,527,6.05962,1.64877,41,1.1463,6703,,
Electronic Battleship,1977,2,2,30,30,30,8,526,4.86385,1.67375,34,1.2647,21701,,2290
Senators,2017,3,5,60,45,60,12,527,6.96534,1.42737,17,2.1176,3534,1418,
Antler Island,2007,3,4,45,45,45,10,526,6.15947,1.30417,71,1.9577,5863,1813,1416
Dancing Dice,2004,2,6,30,30,30,8,524,5.72754,1.33921,70,1.1143,11438,,1904
Hive Mind,2016,3,12,90,30,90,8,525,7.06004,1.4019,7,1.1429,3450,,
Comanauts,2019,2,4,120,90,120,14,526,6.55865,1.7409,14,2.5714,4663,,
Flotilla,2019,3,5,150,90,150,14,525,7.21607,1.44015,34,3.8824,3069,,
New Salem,2015,3,8,45,30,45,14,525,6.30509,1.46627,20,1.6,5239,,
Planet Apocalypse,2020,1,5,90,60,90,14,525,8.06389,1.66568,27,3.0741,2309,1077,
Star Wars: Star Warriors,1987,2,6,120,120,120,12,525,6.89798,1.45904,63,3.1746,3871,,
Lunar Rails,2003,2,6,240,180,240,10,525,6.88966,1.40322,54,2.7593,3766,1455,
Firepower,1984,1,6,60,60,60,12,525,6.2016,1.51989,78,3.6795,6015,,
Bongo!,2000,2,8,15,15,15,8,525,6.07526,1.5501,46,1.413,6280,,
Trivial Pursuit: Harry Potter – Volume 1,2014,2,6,60,30,60,12,524,6.04031,1.59288,6,1.1667,7683,,
Hocus,2016,2,5,30,30,30,10,524,6.55803,1.45541,19,2.2632,4499,,
Rescue Polar Bears: Data & Temperature,2017,1,4,60,30,60,8,525,7.23914,1.16518,11,2.3636,3068,,
Freight Train,1993,2,5,90,90,90,10,524,6.40197,1.26972,58,2.0345,4761,1639,1226
1000 Blank White Cards,1996,3,99,60,60,60,5,524,6.67043,1.71798,77,1.3896,4374,,
Paris: New Eden,2019,2,4,45,45,45,10,523,6.80903,1.35192,18,2.3333,3875,,
Peloponnes Card Game,2015,2,5,45,45,45,10,523,6.75903,1.38704,23,2.5652,3959,1486,
Inuit: The Snow Folk,2019,2,4,45,30,45,13,523,6.87758,1.32293,12,1.9167,3666,,
The Towers of Arkhanos,2019,2,4,30,20,30,14,523,6.83085,1.495,11,1.3636,4166,,
I Hate Zombies,2015,2,12,15,15,15,6,523,5.19881,1.83979,29,1.0345,21438,,
Ming Dynasty,2007,2,4,90,90,90,10,523,5.86042,1.54823,58,2.8448,8515,2041,
Logistico,2003,2,5,60,60,60,11,523,6.21606,1.43426,53,2.717,5623,1781,
A Touch of Evil: Dark Gothic,2014,2,6,60,60,60,12,523,6.94036,1.53529,21,2.1429,3773,,
Pixel Tactics Deluxe,2015,2,4,45,45,45,12,523,7.36164,1.44875,12,2.5833,2990,,
Rise of the Luftwaffe,1993,2,8,20,20,20,12,523,7.05134,1.42723,64,2.1406,3388,,
Cornish Smuggler,2013,2,5,120,120,120,13,523,5.92669,1.88678,46,3.1957,8929,2103,
Gear & Piston,2013,2,6,60,30,60,8,523,5.73368,1.57156,32,2.125,10411,,1861
Cappuccino,2013,2,4,20,10,20,8,522,6.23034,1.23176,32,1.25,5577,,
Charades,1550,2,20,30,30,30,8,522,4.989,1.93254,43,1.1163,21639,,
Kayanak,1999,2,4,15,15,15,4,522,6.43575,1.35975,24,1.2083,4779,,
Trailer Park Wars,2007,2,6,60,60,60,13,522,6.03795,1.79393,35,1.6286,7798,,
30 Rails,2016,1,8,30,20,30,10,521,6.60698,1.35206,16,1.8125,4381,1621,1199
Diskwars,1999,2,8,90,90,90,10,521,5.93687,1.65836,48,2.3958,8221,,
Chaos Marauders,1987,2,4,45,45,45,10,521,5.9577,1.56959,60,1.3667,8215,,
Tavarua,2016,1,6,60,30,60,13,521,7.19709,1.37398,18,2.2222,3171,,876
Dungeon Raiders,2018,3,5,30,20,30,8,522,7.21178,1.14006,14,1.2857,3304,,
"The Game of France, 1940: German Blitzkrieg in the West",1972,2,2,180,180,180,12,521,5.94273,1.54683,71,2.7183,8711,,
Crazy Circus,2002,1,10,20,20,20,8,521,6.22488,1.38576,39,1.4872,5494,,1354
Penguin Pile-Up,1996,1,6,20,20,20,5,521,5.29681,1.49275,51,1.0588,21387,,
Unicornus Knights,2016,2,6,90,60,90,12,520,7.02255,1.6311,21,3.2857,3503,,
Entropy,2015,2,6,15,15,15,12,520,6.16713,1.48947,17,1.8824,6243,1908,1513
Eurobusiness,1983,2,5,90,90,90,14,520,4.75971,1.93465,32,1.4375,21726,,2297
Submarine,1976,1,6,180,180,180,12,519,6.51932,1.48335,75,3.2533,4941,,
Mutiny!,2003,2,5,45,45,45,10,519,5.67732,1.33748,69,1.7681,11820,,1934
Pimp: The Backhanding,2005,2,4,30,15,30,18,519,5.19179,1.82485,53,1.3585,21536,,
En Garde!,2005,2,6,45,45,45,10,519,5.80011,1.45569,59,1.3051,9530,,
Ascension X: War of Shadows,2016,2,4,45,30,45,13,518,7.57168,1.40563,7,2.1429,2754,,
Roll Player Adventures,2021,1,4,150,90,150,14,522,8.47273,1.27043,19,2.3158,2056,,
Spellcaster,2014,2,4,30,20,30,14,518,6.54033,1.46702,25,1.52,4553,,
Rolit,1997,2,4,30,30,30,7,518,5.65772,1.27161,43,1.6977,13587,,
Tsukiji,2017,2,4,30,20,30,8,519,7.28831,1.13979,23,1.9565,3105,,
Tetris Link,2011,2,4,15,15,15,6,518,5.96426,1.41035,17,1.2941,7634,,1705
Australian Rails,1994,2,6,240,180,240,10,518,6.95812,1.4392,51,2.6471,3692,1444,
Terrace,1992,2,4,20,20,20,8,518,6.38381,1.49652,51,2.5098,5212,,
Dragon Rampage,2012,3,5,120,90,120,13,517,6.40795,1.4128,54,2.0926,4950,,
The Cousins' War,2017,2,2,30,30,30,12,517,7.1651,1.33183,15,2.0667,3227,,
Ecosystem,2019,2,6,20,15,20,14,517,7.29468,1.21641,14,1.7143,3194,,855
Dark Seas,2015,2,4,45,45,45,14,517,6.22151,1.38395,26,1.9231,5727,,
Can't Stop Express,1989,1,4,30,30,30,10,518,6.17719,1.51198,8,1.25,5816,,
Barbarian Prince,1981,1,1,180,180,180,12,517,6.55586,1.65251,57,2.4035,5027,,
Tortuga 2199,2020,2,4,90,60,90,12,519,7.34078,1.57158,26,2.5385,3234,,
Siege Storm,2019,1,2,30,15,30,10,517,6.63464,1.51644,8,2.5,4645,,
Junk Orbit,2018,2,5,40,30,40,10,516,6.98234,1.20477,9,1.5556,3579,1420,950
Travel Carcassonne,2007,2,5,45,30,45,8,516,7.24958,1.30945,36,1.8889,3064,,822
Crimson Company,2019,1,4,45,10,45,0,516,7.32461,1.38299,22,2.2727,3369,1421,
Carnival,2011,2,4,30,30,30,13,516,5.70229,1.52314,33,1.5152,10814,,1907
Assault of the Giants,2017,3,6,150,60,150,14,516,6.73944,1.54058,25,3.44,4202,1546,
Redneck Life,2003,2,6,60,60,60,13,516,5.36352,2.03126,38,1.4211,21353,,
Sixth Fleet: Modern Naval Combat in the Mediterranean,1985,2,2,360,360,360,12,516,6.9743,1.44304,71,3.2958,3848,,
Cursed Court,2017,2,6,60,30,60,14,516,7.17095,1.28803,7,1.4286,3196,,
Mighty Empires,1990,2,3,300,300,300,14,516,6.1699,1.80689,45,2.6,6814,,
Urbania,2012,2,5,45,45,45,10,516,6.46043,1.35212,43,2.3488,4753,,1233
Veggie Garden,2017,2,4,30,20,30,12,515,5.86097,1.56751,10,1.3,9153,,
Flandern 1302,2004,2,4,60,60,60,8,515,5.9159,1.33175,73,2.3425,7604,1976,
Pathfinder Adventure Card Game: Mummy's Mask – Base Set,2016,1,4,120,120,120,13,515,8.00409,1.47272,12,2.9167,2371,,
Chez Dork,2001,2,6,30,30,30,12,515,5.31148,1.59828,39,1.3077,21398,,
Da ist der Wurm drin,2011,2,4,20,15,20,4,515,6.41727,1.48716,36,1,4939,,
Mini Rogue,2021,1,2,45,30,45,12,518,7.90534,1.13596,19,2,2481,,
Heroica: Waldurk,2011,2,3,15,15,15,8,514,6.02175,1.4041,28,1.3214,7054,,
Mini Mastermind,1972,2,2,10,10,10,8,514,5.67962,1.40526,39,1.8718,12920,,
Liberty Roads,2009,1,2,1200,90,1200,0,514,8.10986,1.30457,67,3.194,2298,,
Corsairs,2000,2,4,60,60,60,10,514,6.05333,1.30141,44,1.6818,6636,,1533
Maiden's Quest,2018,1,5,30,10,30,14,513,6.64263,1.65452,16,2.375,4496,1617,
Loop Inc.,2015,2,4,40,20,40,13,513,6.38674,1.48911,12,2.5,4935,,
Monopoly Gamer: Mario Kart,2018,2,4,60,45,60,8,513,6.22986,1.50631,13,1.3846,6497,,
Latice,2015,2,4,30,10,30,6,513,6.65112,1.41761,13,1.6154,4484,,
Cowboys: The Way of the Gun,2007,2,10,60,60,60,8,513,6.17954,1.50211,74,1.6081,5805,,
Darklight: Memento Mori,2018,1,4,120,60,120,14,513,8.34883,1.72341,24,3.5833,2982,,
Looterz,2016,2,6,30,15,30,10,513,6.6024,1.49334,18,1.2222,4667,,
Origins:  How We Became Human,2007,2,5,180,180,180,10,513,6.74351,1.88582,91,3.8022,3981,1482,
Spoons,1972,4,13,30,30,30,8,513,5.18273,1.77056,45,1.0889,21548,,
Secrets of the Lost Tomb,2015,1,6,120,120,120,13,512,7.33152,1.805,35,3.2571,3581,,
Locomotive Werks,2002,3,5,120,120,120,12,512,6.7847,1.44022,44,2.8864,3906,1470,
Bisikle,2009,1,4,30,30,30,5,512,6.58281,1.32399,22,1.6364,4354,,1160
Babylon 5 Collectible Card Game,1997,2,10,60,60,60,10,512,6.74412,1.85659,48,3.1042,4391,,
Ratland,2017,2,6,30,30,30,8,511,6.95289,1.52443,20,1.6,4019,,
Sabotage,2019,2,4,90,60,90,10,511,7.34418,1.40735,16,2.9375,2985,,
Sola Fide: The Reformation,2016,2,2,45,45,45,12,511,6.44769,1.44075,11,2,4770,,
18MEX,2005,3,5,210,210,210,14,512,7.81277,1.14512,31,3.8387,2316,1012,
Scrawl,2016,4,8,30,30,30,17,511,7.13995,1.51651,7,1,3541,,
Sundae Split,2017,2,5,20,20,20,10,511,6.75247,1.24736,9,1.2222,3991,,
Journal 29: Interactive Book Game,2017,1,0,120,120,120,14,510,7.0457,1.41111,13,2.5385,3492,,
Foodies,2019,2,5,30,20,30,14,510,6.57535,1.44597,11,1.5455,4504,,
Terra,2003,3,6,30,30,30,8,510,5.7149,1.54914,61,1.6557,10600,,
Doctor Who Fluxx,2017,2,6,30,5,30,8,510,6.85555,1.50641,5,1.8,4002,,
Goblivion,2018,1,2,30,30,30,12,510,7.7668,1.27917,23,2.2174,2800,,
Monster Fluxx,2013,2,6,20,5,20,8,510,6.11064,1.52947,18,1.1667,6744,,
Air Assault on Crete / Invasion of Malta: 1942,1977,2,2,240,240,240,12,510,6.4416,1.37754,65,3.2,5169,,
One Night Werewolf,2012,3,7,10,10,10,10,511,6.12191,1.64632,33,1.2121,6365,,
The Cards of Cthulhu,2014,1,4,90,30,90,0,510,6.81563,1.40081,36,1.8333,4118,,
Assault on Hoth: The Empire Strikes Back,1988,2,2,90,90,90,12,509,6.96349,1.41171,67,2.209,3728,,
Dig Your Way Out,2019,2,6,45,40,45,14,511,7.3987,1.33411,14,1.9286,3136,,
Fleet Wharfside,2015,2,4,30,20,30,13,509,6.91343,1.19118,17,1.7059,3657,,
Atmosfear: The Harbingers,1995,3,6,60,60,60,12,509,6.02644,1.79926,41,1.9512,8779,,
The Spoils,2006,2,6,40,40,40,13,509,6.96062,2.02151,60,2.7667,4240,,
Card of the Dead,2011,2,5,15,15,15,10,510,5.46726,1.60937,29,1.1724,20391,,
Amoeba Wars,1981,2,6,150,150,150,12,507,6.06671,1.4889,51,2.1373,7274,,
Railroad Dice,2003,2,4,90,90,90,12,508,6.15278,1.51279,41,2.7073,5841,1799,
Decktet,2008,0,0,30,30,30,0,508,7.44242,1.52132,30,2,2865,,802
Mijnlieff,2010,2,2,10,10,10,6,508,7.14906,1.34222,37,1.7027,3493,,
Demon Worker,2016,3,4,45,45,45,10,508,7.06564,1.15922,14,2.4286,3357,,
King's Gold,2014,2,6,15,15,15,8,508,6.25222,1.30829,15,1,5818,,1424
Captive,2016,1,1,130,30,130,10,508,6.84264,1.5024,12,1.1667,3822,,
Senator,2004,3,5,60,60,60,8,507,5.51995,1.46828,70,2.0429,18461,2304,
Solomon Kane,2021,1,5,120,60,120,0,506,8.18417,1.9968,21,3.0952,2894,,
Sequoia,2020,2,5,10,10,10,6,508,6.75687,1.21347,11,1.0909,4022,,
Whale Riders,2021,2,6,45,30,45,8,506,7.13299,1.23939,22,1.9545,3247,,873
7 Ate 9,2009,2,4,5,5,5,8,506,6.06076,1.43192,26,1.1154,7016,,1591
Magic Dance,1988,3,6,45,45,45,8,505,5.81079,1.42711,54,1.463,9457,,1797
Mystic Market,2019,2,4,45,30,45,10,505,7.19677,1.23986,9,1.6667,3352,,
Charon Inc.,2010,2,5,60,60,60,13,505,6.31127,1.24341,33,2.2424,5270,1723,1330
Schotten Totten 2,2020,2,2,20,20,20,8,506,7.27559,1.18156,12,1.9167,3123,,
Caravan,2019,2,4,45,45,45,12,505,6.69451,1.17073,12,1.75,4117,1532,1094
WWE Superstar Showdown,2015,2,6,120,10,120,8,505,6.53379,1.48955,16,2.3125,4787,,
Deckscape: The Curse of the Sphinx,2019,1,6,90,30,90,12,504,6.13347,1.61863,9,2,6107,,
Pursuit of Glory,2008,2,2,360,360,360,14,504,7.90077,1.65973,94,3.9149,2473,,
Yomi (Second Edition),2014,1,4,20,20,20,10,504,7.54062,1.8068,34,2.7353,2879,1263,
Quarriors! Light vs. Dark,2014,2,4,30,30,30,14,504,6.80895,1.50928,15,2.1333,3920,,
Space Marine,1989,2,3,120,120,120,12,503,6.81324,1.58578,48,3.1458,4094,,
Sequence for Kids,2001,2,4,20,20,20,3,503,5.73872,1.35058,26,1.0769,11845,,
"Gandhi: The Decolonization of British India, 1917 – 1947",2019,1,4,240,90,240,14,503,8.13345,1.28628,44,4.1591,2225,,
WeyKick,2001,2,4,10,10,10,3,503,6.95163,1.51767,39,1.0256,3508,,911
Hellenes: Campaigns of the Peloponnesian War,2009,2,2,240,240,240,12,503,7.43195,1.39868,74,2.9865,2947,,
SPANC: Space Pirate Amazon Ninja Catgirls,2005,2,4,60,60,60,14,503,5.35517,1.76866,51,1.3137,21263,,
Yggdrasil Chronicles,2019,1,5,90,90,90,14,506,7.39255,1.35323,29,2.9655,3094,,
Xanadú,2012,2,6,70,40,70,13,504,6.47915,1.34791,29,2.2069,4797,1657,
Complots,2013,2,8,15,15,15,8,505,6.80536,1.33651,8,1.625,4017,,
Zen Master,2010,3,5,30,30,30,8,502,6.33114,1.18543,25,1.32,5236,,1321
Aquileia,2011,3,5,90,90,90,12,502,6.71913,1.38196,40,2.925,4341,1564,
Tanto Cuore: Expanding the House,2010,2,4,45,45,45,12,502,7.48992,1.43677,23,2.1304,2988,1278,
Lovelace & Babbage,2019,2,4,30,15,30,14,502,6.76698,1.46369,6,2.3333,3900,,
Ostia,2005,3,5,60,60,60,12,501,5.79718,1.3144,69,2.4638,9375,2106,1788
Reverse Charades,2010,6,99,30,30,30,6,501,6.68747,1.44592,19,1.0526,4194,,
Kulami,2011,2,2,30,30,30,10,501,7.14838,1.22923,18,1.6667,3384,,
Roll Camera!: The Filmmaking Board Game,2021,1,4,90,45,90,11,503,7.84742,1.26615,28,2.1429,2683,,
Double or Nothing,2006,3,6,20,20,20,10,501,5.67597,1.31862,64,1.1094,11621,,1913
Boss Monster: Rise of the Minibosses,2018,2,4,45,20,45,13,502,6.96654,1.34212,6,2.1667,3990,,1132
Draconis Invasion,2016,1,6,90,30,90,14,501,7.22815,1.84252,16,2.5,4227,,
Napoleon at Waterloo,1971,2,2,30,30,30,10,500,6.655,1.3788,63,1.9048,4509,,
Epic Spell Wars of the Battle Wizards: Melee at Murdershroom Marsh,2017,2,6,30,30,30,15,501,6.59041,1.71628,8,1.5,4871,,
Summer Camp,2021,2,4,45,30,45,10,504,7.41947,1.16626,19,1.9474,2956,,781
The Walking Dead Card Game,2013,2,10,30,10,30,15,500,5.50547,1.77088,24,1.2917,18764,,
Judge Dredd,1982,2,6,90,90,90,8,500,6.28126,1.59231,38,1.8947,5831,,
The Mystic Wood,1980,2,4,60,60,60,12,500,6.47981,1.32293,48,1.4792,5059,,
Poker Dice,0,2,12,10,10,10,8,501,5.05794,1.79471,53,1.2642,21589,,2266
Pick-a-Polar Bear,2013,1,5,15,10,15,8,500,6.39952,1.24653,22,1.0455,5038,,
La Viña,2019,2,5,45,30,45,8,500,7.04608,1.24323,16,2.25,3716,,1003
Wizard,1978,2,2,30,30,30,10,500,7.33921,1.62623,41,2.2683,3833,,
Megastar,2006,2,5,30,30,30,8,499,5.42656,1.33496,51,1.4118,20131,,2166
Langfinger,2009,2,5,30,20,30,8,500,6.16806,1.31582,39,1.7692,5981,,1446
Time's Up! Academy,2009,4,12,30,30,30,12,499,7.26106,1.47742,15,1.0667,3085,,
Windward,2020,1,5,90,30,90,14,499,7.31539,1.52248,33,2.303,3671,,
Dice Miner,2021,1,4,30,20,30,10,499,7.29431,1.24344,13,1.7692,3275,,
Krosmaster: Quest,2015,2,6,180,120,180,12,499,6.83095,1.62232,12,3.0833,4464,,
FBI,2004,2,5,30,30,30,10,498,5.77243,1.28302,57,1.5439,9807,,1821
Jutland,1967,2,10,360,60,360,12,498,6.70361,1.49276,80,2.9125,4706,,
The Legend of the Cherry Tree that Blossoms Every Ten Years,2018,2,4,20,20,20,8,499,6.43692,1.3885,11,1.2727,5188,,1305
Nanga Parbat,2021,2,2,30,30,30,14,500,6.90564,1.14576,9,2,3697,,
The Grand Carnival,2020,1,4,60,45,60,12,501,7.69045,1.13232,17,2.2353,2565,,663
Dungeon Time,2017,1,5,60,10,60,8,498,6.60088,1.46332,12,1.8333,4674,,
Drive,2003,2,4,30,30,30,8,499,6.54205,1.24112,56,1.2679,4585,,1192
Infarkt,2011,2,5,45,45,45,10,497,6.58193,1.59255,26,1.7308,4724,,
ego,2007,2,6,45,45,45,14,498,5.38815,1.62245,13,1,21120,,
Mapmaker: The Gerrymandering Game,2019,1,4,45,30,45,8,497,6.75692,1.45963,16,1.5625,4238,,
Schrödinger's Cats,2015,2,6,30,10,30,8,497,5.7026,1.63901,16,1.25,12048,,
Unmatched: Buffy the Vampire Slayer,2020,2,4,40,20,40,14,499,7.84649,1.2927,8,1.875,2605,,
Tin Goose,2016,3,5,150,90,150,14,497,6.94978,1.35733,17,3,3618,1416,
Bomb Squad Academy,2015,2,5,40,20,40,13,497,6.37952,1.23723,14,1.6429,5098,,
Chopstick Dexterity MegaChallenge 3000,2006,1,3,15,15,15,10,497,6.16028,1.47134,34,1.0882,5795,,1415
Weapons & Warriors:  Castle Combat Set,1993,2,99,30,30,30,7,496,5.96329,1.66772,48,1.2708,8790,,
The Sneaky Snacky Squirrel Game,2011,2,4,15,15,15,3,496,5.11594,1.6065,20,1.05,21590,,
Queenz: To Bee or Not to Bee,2019,2,4,30,30,30,8,496,7.13749,1.23647,16,2.0625,3437,,
Cavemen: The Quest for Fire,2012,2,5,45,45,45,13,496,6.33867,1.35458,25,1.88,5357,,1337
Granada,2009,2,6,60,45,60,8,495,6.96338,1.1748,33,2.2121,3561,,952
Touria,2016,2,4,60,45,60,10,495,6.64007,1.3041,11,1.9091,4360,,
Franchise,2018,2,5,60,60,60,12,495,6.95617,1.15492,6,2.3333,3600,,
UNO H2O,2004,2,10,30,30,30,7,495,6.06989,1.51425,28,1.1429,7390,,1706
Pop-Up Pirate!,1975,2,4,20,20,20,3,494,4.65051,1.73325,36,1.0556,21724,,
Slavika,2012,2,5,30,30,30,10,494,5.8913,1.6458,45,2.2444,11336,2200,1948
Wayfinders,2019,2,4,45,25,45,10,494,6.55166,1.29525,9,2.1111,4695,,
Machine of Death: The Game of Creative Assassination,2014,2,4,30,30,30,15,493,5.38632,1.85292,21,1.5714,20855,,
Hector and Achilles,2003,2,2,30,30,30,10,493,5.39516,1.50109,56,1.8214,20662,2322,
Mind MGMT: The Psychic Espionage “Game.”,2021,1,5,75,45,75,13,497,8.17047,1.30582,17,2.7647,2260,1018,
Stay Cool,2019,3,7,30,10,30,12,494,7.0764,1.38303,8,1,3447,,
Peak Oil,2017,2,5,75,45,75,10,493,6.62286,1.49789,24,3,4419,,
Star Fleet Battles: Captain's Edition Basic Set,1990,1,6,180,180,180,12,493,7.50611,1.68249,77,4.2597,3044,,
Fun Farm,2013,2,10,15,15,15,6,493,6.19375,1.28733,19,1.0526,5984,,
Liberty: The American Revolution 1775-83,2003,2,2,180,180,180,12,493,7.19785,1.41124,63,2.6508,3294,,
Golem,2021,1,4,120,90,120,14,498,7.62218,1.49638,51,3.9216,2725,1157,
The Game of Life: Twists & Turns,2007,2,4,60,60,60,9,491,5.68143,1.6958,33,1.3636,14775,,2069
Successors (First/Second Edition),1997,2,4,180,180,180,12,492,7.04573,1.53823,67,3.194,3607,,
Top Ten,2020,4,9,30,30,30,14,494,7.67127,1.42994,19,1.1053,2740,,
1906 San Francisco,2018,2,4,60,45,60,12,492,7.2595,1.03962,31,2.3226,3108,1290,
The Big Cheese,1998,3,6,30,30,30,10,492,5.8836,1.3832,55,1.3455,8688,,1772
Penguin,2007,2,6,20,20,20,8,492,4.65287,1.84115,69,1.0725,21725,,2298
The Last Spike,2015,2,6,45,45,45,10,491,6.76108,1.41452,29,1.7931,4131,1545,1130
Seasons of Rice,2018,2,2,20,20,20,8,491,7.07365,1.15696,11,1.6364,3479,,
Marbles,-3000,1,0,10,10,10,4,490,4.68978,1.74816,50,1.1,21708,,
Checkpoint Charlie,2016,3,5,30,20,30,10,491,6.68563,1.52817,12,1.25,5175,,1344
Clue: 50th Anniversary Edition,1999,3,6,60,60,60,8,489,6.26221,1.51363,30,1.6333,6391,,1524
Captains of the Gulf,2018,2,4,120,75,120,12,490,6.99143,1.45059,37,3.2703,3582,,
Attack Sub,1991,2,2,30,30,30,12,490,6.61114,1.50743,64,2.2969,4545,,
Archmage,2018,1,4,120,60,120,14,490,6.71765,1.59091,27,3.2222,4435,1606,
1853,1989,3,6,180,180,180,12,489,6.81902,1.60934,53,4.1698,3891,1463,
"Red Winter: The Soviet Attack at Tolvajärvi, Finland – 8-12 December 1939",2012,2,2,720,20,720,12,489,7.98983,1.30392,81,2.9753,2356,,
For The Win,2012,2,2,10,10,10,8,489,5.7573,1.40542,31,1.8387,9900,,
Canopy,2021,1,4,30,30,30,8,492,7.68727,1.02252,28,2.1071,2718,,
Treasures & Traps,2006,2,6,10,10,10,10,489,6.21225,1.61231,61,1.4098,6299,,1547
DC Comics Dice Masters: War of Light,2015,2,2,60,60,60,14,488,7.27494,1.52861,12,2.25,3197,,
The Arrival,2016,2,4,90,75,90,12,490,6.68895,1.31443,19,2.6316,4259,1560,
Calavera,2019,2,4,20,20,20,8,489,6.82494,1.27604,13,1.0769,3944,,
Don Pepe,1999,3,6,30,30,30,8,488,6.226,1.25355,29,1.3103,6085,,
Einstein: His Amazing Life and Incomparable Science,2017,2,4,45,15,45,8,489,6.63918,1.28972,12,1.5,4467,,
