Rk,Name,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
225,Frank Robinson,1982,21,1956,1976,14,107.2,2808,11744,10006,1829,2943,528,72,586,1812,204,77,1420,1532,218,270,102,17,0.294,0.389,0.537,0.926
1,Henry Aaron,1982,23,1954,1976,25,143.1,3298,13941,12364,2174,3771,624,98,755,2297,240,73,1402,1383,293,328,121,21,0.305,0.374,0.555,0.928
131,Travis Jackson,1982,15,1922,1936,1,44.2,1656,6682,6086,833,1768,291,86,135,929,71,70,412,565,29,39,,171,0.291,0.337,0.433,0.77
224,Brooks Robinson,1983,23,1955,1977,18,78.5,2896,11782,10654,1232,2848,482,68,268,1357,28,22,860,990,120,297,114,101,0.267,0.322,0.401,0.723
144,George Kell,1983,15,1943,1957,10,37.6,1795,7529,6702,880,2054,385,50,78,870,51,36,621,287,33,188,20,149,0.306,0.367,0.414,0.781
148,Harmon Killebrew,1984,22,1954,1975,13,60.3,2435,9833,8147,1283,2086,290,24,573,1584,19,18,1559,1699,160,243,77,0,0.256,0.376,0.509,0.884
7,Luis Aparicio,1984,18,1956,1973,13,55.9,2599,11231,10230,1335,2677,394,92,83,791,506,136,736,742,22,184,76,161,0.262,0.311,0.343,0.653
215,Pee Wee Reese,1984,16,1940,1958,10,68.4,2166,9472,8058,1338,2170,330,80,126,885,232,99,1210,890,69,176,19,157,0.269,0.366,0.377,0.743
82,Rick Ferrell,1984,18,1929,1947,8,30.8,1884,7076,6028,687,1692,324,45,28,734,29,35,931,277,68,55,,103,0.281,0.378,0.363,0.741
274,Arky Vaughan,1985,14,1932,1948,9,77.9,1817,7723,6622,1173,2103,356,128,96,926,118,90,937,276,85,70,,116,0.318,0.406,0.453,0.859
247,Enos Slaughter,1985,19,1938,1959,10,57.6,2380,9087,7946,1247,2383,413,148,169,1304,71,60,1018,538,108,139,10,73,0.3,0.382,0.453,0.834
29,Lou Brock,1985,19,1961,1979,6,45.3,2616,11240,10332,1610,3023,486,141,149,900,938,307,761,1730,124,114,46,47,0.293,0.343,0.41,0.753
73,Bobby Doerr,1986,14,1937,1951,9,51.4,1865,8030,7093,1094,2042,381,89,223,1247,54,64,809,608,53,187,,115,0.288,0.362,0.461,0.823
161,Ernie Lombardi,1986,17,1931,1947,8,37.7,1853,6353,5855,601,1792,277,27,190,990,8,9,430,262,153,261,,18,0.306,0.358,0.46,0.818
180,Willie McCovey,1986,22,1959,1980,6,64.4,2588,9692,8197,1229,2211,353,46,521,1555,26,22,1345,1550,260,176,70,5,0.27,0.374,0.515,0.889
288,Billy Williams,1987,18,1959,1976,6,63.6,2488,10519,9350,1410,2711,434,88,426,1475,90,49,1045,1046,182,200,73,8,0.29,0.361,0.492,0.853
63,Ray Dandridge,1987,8,1933,1944,3,5.2,246,1000,927,144,296,55,19,4,146,20,,58,,0,,,14,0.319,0.36,0.433,0.793
257,Willie Stargell,1988,21,1962,1982,7,57.6,2360,9027,7927,1194,2232,423,55,475,1540,17,16,937,1936,227,143,75,9,0.282,0.36,0.529,0.889
299,Carl Yastrzemski,1989,23,1961,1983,18,96.5,3308,13992,11988,1816,3419,646,59,452,1844,168,116,1845,1393,190,323,105,13,0.285,0.379,0.462,0.841
19,Johnny Bench,1989,17,1967,1983,14,75.1,2158,8674,7658,1091,2048,381,24,389,1376,68,43,891,1278,135,201,90,11,0.267,0.342,0.476,0.817
241,Red Schoendienst,1989,19,1945,1963,10,44.8,2216,9224,8479,1223,2449,427,78,84,773,89,60,606,346,30,180,19,97,0.289,0.337,0.387,0.724
191,Joe Morgan,1990,22,1963,1984,10,100.6,2649,11329,9277,1650,2517,449,96,268,1133,689,162,1865,1015,76,105,96,51,0.271,0.392,0.427,0.819
