Row Index,Column,Value,Q1,Q3,IQR,Lower Bound,Upper Bound,Type
456,PERIMETER,112.28528006,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
457,PERIMETER,76.12423409,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
459,PERIMETER,166.54263054,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
461,PERIMETER,83.64489799,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
464,PERIMETER,50.79558651,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
469,PERIMETER,123.27287574,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
486,PERIMETER,43.04942674,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
495,PERIMETER,113.39049678,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
497,PERIMETER,85.35675698,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
498,PERIMETER,51.59341215,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
499,PERIMETER,60.30741551,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
502,PERIMETER,66.58660775,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
528,PERIMETER,102.49385552,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
535,PERIMETER,53.75878941,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
549,PERIMETER,53.79458258,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
554,PERIMETER,76.52089724,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
561,PERIMETER,228.60596022,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
582,PERIMETER,47.38528664,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
585,PERIMETER,332.77351078,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
592,PERIMETER,75.6069703,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
601,PERIMETER,91.52429311,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
623,PERIMETER,162.28575468,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
639,PERIMETER,56.82636697,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
653,PERIMETER,211.70187097,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
654,PERIMETER,46.71413434,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
656,PERIMETER,137.46730185,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
669,PERIMETER,54.00688149,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
678,PERIMETER,62.75683769,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
679,PERIMETER,53.65912605,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
681,PERIMETER,72.88549435,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
682,PERIMETER,91.3953849,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
698,PERIMETER,56.74950756,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
704,PERIMETER,103.55554568,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
728,PERIMETER,119.03178563,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
738,PERIMETER,49.68520507,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
763,PERIMETER,142.24916988,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
767,PERIMETER,227.56861509,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
775,PERIMETER,489.09331858,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
2,AREA,3548.57016437,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
9,AREA,171.09737601,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
12,AREA,45.24040184,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
15,AREA,93.34278088,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
19,AREA,51.75645043,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
28,AREA,1742.55128279,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
30,AREA,205.67476917,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
36,AREA,575.80925514,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
50,AREA,86.73309413,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
70,AREA,43.30089688,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
78,AREA,30.99643263,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
82,AREA,20.71375137,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
88,AREA,900.7713739,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
96,AREA,31.00252335,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
107,AREA,39.68713188,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
108,AREA,35.66381945,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
109,AREA,1307.98611024,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
110,AREA,1180.20496212,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
111,AREA,228.24335083,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
