Player,Team,League,AtBats,Hits,BattingAvg
Christian Bethancourt,Tampa Bay Rays,AL,315,71,0.225
Francisco Mejia,Tampa Bay Rays,AL,150,34,0.227
Brandon Lowe,Tampa Bay Rays,AL,377,87,0.231
Luke Raley,Tampa Bay Rays,AL,357,89,0.249
René Pinto,Tampa Bay Rays,AL,103,26,0.252
Manuel Margot,Tampa Bay Rays,AL,311,82,0.264
Wander Franco,Tampa Bay Rays,AL,442,124,0.281
Harold Ramírez,Tampa Bay Rays,AL,400,125,0.313
Isaac Paredes,Tampa Bay Rays,AL,492,123,0.25
Randy Arozarena,Tampa Bay Rays,AL,551,140,0.254
Josh Lowe,Tampa Bay Rays,AL,466,136,0.292
Yandy Díaz,Tampa Bay Rays,AL,525,173,0.33
Josh Smith,Texas Rangers,AL,195,36,0.185
Robbie Grossman,Texas Rangers,AL,353,84,0.238
Travis Jankowski,Texas Rangers,AL,247,65,0.263
Mitch Garver,Texas Rangers,AL,296,80,0.27
Ezequiel Durán,Texas Rangers,AL,406,112,0.276
Adolis García,Texas Rangers,AL,555,136,0.245
Jonah Heim,Texas Rangers,AL,457,118,0.258
Nathaniel Lowe,Texas Rangers,AL,623,163,0.262
Josh Jung,Texas Rangers,AL,478,127,0.266
Leody Taveras,Texas Rangers,AL,511,136,0.266
Marcus Semien,Texas Rangers,AL,670,185,0.276
Corey Seager,Texas Rangers,AL,477,156,0.327
Danny Jansen,Toronto Blue Jays,AL,268,61,0.228
Cavan Biggio,Toronto Blue Jays,AL,289,68,0.235
Santiago Espinal,Toronto Blue Jays,AL,230,57,0.248
Alejandro Kirk,Toronto Blue Jays,AL,372,93,0.25
Brandon Belt,Toronto Blue Jays,AL,339,86,0.254
Kevin Kiermaier,Toronto Blue Jays,AL,370,98,0.265
Davis Schneider,Toronto Blue Jays,AL,116,32,0.276
Daulton Varsho,Toronto Blue Jays,AL,527,116,0.22
Matt Chapman,Toronto Blue Jays,AL,509,122,0.24
George Springer,Toronto Blue Jays,AL,613,158,0.258
Vladimir Guerrero Jr.,Toronto Blue Jays,AL,602,159,0.264
Whit Merrifield,Toronto Blue Jays,AL,547,149,0.272
Bo Bichette,Toronto Blue Jays,AL,571,175,0.306
Alex Call,Washington Nationals,NL,375,75,0.2
Jake Alu,Washington Nationals,NL,159,36,0.226
Corey Dickerson,Washington Nationals,NL,144,36,0.25
Ildemaro Vargas,Washington Nationals,NL,262,66,0.252
Jacob Young,Washington Nationals,NL,107,27,0.252
Luis García Jr.,Washington Nationals,NL,447,119,0.266
Stone Garrett,Washington Nationals,NL,234,63,0.269
Riley Adams,Washington Nationals,NL,143,39,0.273
Víctor Robles,Washington Nationals,NL,107,32,0.299
CJ Abrams,Washington Nationals,NL,563,138,0.245
Dominic Smith,Washington Nationals,NL,527,134,0.254
Keibert Ruiz,Washington Nationals,NL,523,136,0.26
Lane Thomas,Washington Nationals,NL,628,168,0.268
Joey Meneses,Washington Nationals,NL,611,168,0.275
