Player,Team,League,BattingAvg,AtBats,Hits,Year
Blake Perkins,Milwaukee Brewers,National League,0.217,143,31,2023
Stuart Fairchild,Cincinnati Reds,National League,0.228,219,50,2023
Andrew Knizner,St. Louis Cardinals,National League,0.241,224,54,2023
Ryan McKenna,Baltimore Orioles,American League,0.254,122,31,2023
Oswaldo Cabrera,New York Yankees,American League,0.211,298,63,2023
Adolis García,Texas Rangers,American League,0.245,555,136,2023
TJ Friedl,Cincinnati Reds,National League,0.279,488,136,2023
Christian Bethancourt,Tampa Bay Rays,American League,0.225,315,71,2023
Jorge Soler,Miami Marlins,National League,0.25,504,126,2023
Akil Baddoo,Detroit Tigers,American League,0.218,312,68,2023
Christopher Morel,Chicago Cubs,National League,0.247,388,96,2023
Trey Mancini,Chicago Cubs,National League,0.234,235,55,2023
Martín Maldonado,Houston Astros,American League,0.191,362,69,2023
Brandon Nimmo,New York Mets,National League,0.274,592,162,2023
Isaac Paredes,Tampa Bay Rays,American League,0.25,492,123,2023
Bryan Reynolds,Pittsburgh Pirates,National League,0.263,574,151,2023
Francisco Lindor,New York Mets,National League,0.254,602,153,2023
J.T. Realmuto,Philadelphia Phillies,National League,0.252,489,123,2023
Ian Happ,Chicago Cubs,National League,0.248,580,144,2023
Nick Madrigal,Chicago Cubs,National League,0.263,270,71,2023
Kevin Pillar,Atlanta Braves,National League,0.228,197,45,2023
Miguel Rojas,Los Angeles Dodgers,National League,0.236,385,91,2023
Cavan Biggio,Toronto Blue Jays,American League,0.235,289,68,2023
Will Smith,Los Angeles Dodgers,National League,0.261,464,121,2023
Joey Wendle,Miami Marlins,National League,0.212,297,63,2023
Spencer Torkelson,Detroit Tigers,American League,0.233,606,141,2023
Jesse Winker,Milwaukee Brewers,National League,0.199,166,33,2023
Adam Duvall,Boston Red Sox,American League,0.247,320,79,2023
Parker Meadows,Detroit Tigers,American League,0.232,125,29,2023
Luis Guillorme,New York Mets,National League,0.224,107,24,2023
Josh Lowe,Tampa Bay Rays,American League,0.292,466,136,2023
Keibert Ruiz,Washington Nationals,National League,0.26,523,136,2023
Fernando Tatis Jr.,San Diego Padres,National League,0.257,575,148,2023
René Pinto,Tampa Bay Rays,American League,0.252,103,26,2023
David Fry,Cleveland Guardians,American League,0.238,101,24,2023
José Miranda,Minnesota Twins,American League,0.211,142,30,2023
Andrew Vaughn,Chicago White Sox,American League,0.258,566,146,2023
Kody Clemens,Philadelphia Phillies,National League,0.23,139,32,2023
Jason Heyward,Los Angeles Dodgers,National League,0.269,334,90,2023
Ryan McMahon,Colorado Rockies,National League,0.24,555,133,2023
Ryan O'Hearn,Baltimore Orioles,American League,0.289,346,100,2023
Brendan Rodgers,Colorado Rockies,National League,0.258,178,46,2023
Salvador Perez,Kansas City Royals,American League,0.255,538,137,2023
Mookie Betts,Los Angeles Dodgers,National League,0.307,584,179,2023
Randy Arozarena,Tampa Bay Rays,American League,0.254,551,140,2023
Shohei Ohtani,Los Angeles Angels,American League,0.304,497,151,2023
Jared Walsh,Los Angeles Angels,American League,0.125,104,13,2023
Dylan Carlson,St. Louis Cardinals,National League,0.219,219,48,2023
Kevin Newman,Cincinnati Reds,National League,0.253,225,57,2023
Jeff McNeil,New York Mets,National League,0.27,585,158,2023
Luis Arráez,Miami Marlins,National League,0.354,574,203,2023
Yuli Gurriel,Miami Marlins,National League,0.245,298,73,2023
William Contreras,Milwaukee Brewers,National League,0.289,540,156,2023
Matt Wallner,Minnesota Twins,American League,0.249,213,53,2023
Jesús Sánchez,Miami Marlins,National League,0.253,360,91,2023
Edmundo Sosa,Philadelphia Phillies,National League,0.251,279,70,2023
LaMonte Wade Jr.,San Francisco Giants,National League,0.256,429,110,2023
Andy Ibáñez,Detroit Tigers,American League,0.264,356,94,2023
Jake Rogers,Detroit Tigers,American League,0.221,331,73,2023
Alika Williams,Pittsburgh Pirates,National League,0.198,101,20,2023
Nick Senzel,Cincinnati Reds,National League,0.236,301,71,2023
Emmanuel Rivera,Arizona Diamondbacks,National League,0.261,257,67,2023
Maikel Garcia,Kansas City Royals,American League,0.272,464,126,2023
Mike Trout,Los Angeles Angels,American League,0.263,308,81,2023
Liover Peguero,Pittsburgh Pirates,National League,0.237,198,47,2023
Orlando Arcia,Atlanta Braves,National League,0.264,488,129,2023
Alejandro Kirk,Toronto Blue Jays,American League,0.25,372,93,2023
Willson Contreras,St. Louis Cardinals,National League,0.264,428,113,2023
Elehuris Montero,Colorado Rockies,National League,0.243,284,69,2023
Luke Maile,Cincinnati Reds,National League,0.235,179,42,2023
