Row Index,Column,Value,Q1,Q3,IQR,Lower Bound,Upper Bound,Type
206,AREA,19.71133424,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
209,AREA,17.30767006,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
211,AREA,18.31649555,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
217,AREA,73.91080678,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
220,AREA,24.34134505,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
233,AREA,44.22871071,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
235,AREA,11.7231836,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
248,AREA,17.9384353,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
258,AREA,20.27045612,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
262,AREA,24.08388864,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
266,AREA,14.21697719,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
273,AREA,35.28132876,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
285,AREA,12.50940937,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
303,AREA,17.07431075,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
309,AREA,33.30838897,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
332,AREA,33.88266775,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
349,AREA,53.03493845,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
362,AREA,23.4489528,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
364,AREA,33.62462485,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
366,AREA,13.36624457,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
370,AREA,12.63878888,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
386,AREA,36.18826308,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
399,AREA,32.11642959,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
413,AREA,11.29811339,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
416,AREA,16.23443339,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
420,AREA,28.81367101,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
433,AREA,34.72625367,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
434,AREA,66.57950519,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
437,AREA,18.11781989,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
470,AREA,28.0193493,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
479,AREA,43.72598199,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
486,AREA,45.43320157,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
489,AREA,12.22104075,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
491,AREA,20.19862344,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
493,AREA,59.65636472,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
499,AREA,19.31206884,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
503,AREA,34.29115123,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
517,AREA,28.68363602,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
521,AREA,82.3615815,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
526,AREA,19.4922695,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
